# Rime user dictionary
#@/db_name	luna_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.2.9
#@/tick	1260
#@/user_id	Terry_rime
a 	啊	c=6 d=3.04397 t=1260
ji chu 	基礎	c=1 d=0.733447 t=1260
ji ci 	幾次	c=1 d=0.932394 t=1260
ji ge 	幾個	c=1 d=0.918512 t=1260
ji ji 	積極	c=0 d=0.0733447 t=1260
ji ji de 	積極的	c=1 d=0.737123 t=1260
ji ji xiang shang 	積極向上	c=1 d=0.99005 t=1260
ji ke 	即可	c=2 d=1.8781 t=1260
ji nan 	濟南	c=1 d=0.882497 t=1260
ji nan shi 	濟南市	c=1 d=1.09399 t=1260
ji nan shi shi zhong qu 	濟南市市中區	c=1 d=0.990357 t=1260
ji nan shi shi zhong qu wang guan zhuang jie dao 	濟南市市中區王官莊街道	c=1 d=0.904837 t=1260
ji nan shi wang guan zhuang 	濟南市王官莊	c=1 d=0.909373 t=1260
ji nv 	妓女	c=2 d=1.43069 t=1260
ji nv 	繼女	c=1 d=0.70822 t=1260
ji suan ji 	計算機	c=1 d=0.980199 t=1260
ji suan qi 	計算器	c=1 d=0.985112 t=1260
ji yu 	基於	c=2 d=1.15531 t=1260
ji yu qiang da de 	基於強大的	c=1 d=0.891366 t=1260
jia jia 	榎家	c=1 d=1 t=1260
jia meng dian 	加盟店	c=0 d=0.0970446 t=1260
jia ru 	加入	c=2 d=1.76812 t=1260
jia suo 	枷鎖	c=0 d=0.0995012 t=1260
jia zai 	加載	c=2 d=1.40617 t=1260
jia zheng pei 	贾政陪	c=1 d=0.99005 t=1260
jian gong li ye 	建功立業	c=1 d=0.744532 t=1260
jian li 	建立	c=2 d=1.01975 t=1260
jian li mo xing 	建立模型	c=1 d=0.759572 t=1260
jian pan 	鍵盤	c=1 d=0.900325 t=1260
jian shu 	简书	c=2 d=1.98506 t=1260
jiang 	將	c=1 d=0.965605 t=1260
jiao 	交	c=0 d=0.1 t=1260
jiao nei rong 	交內容	c=1 d=1 t=1260
jie ba 	結巴	c=7 d=3.86343 t=1260
jie ba fen ci 	結巴分詞	c=1 d=0.985112 t=1260
jie dao 	街道	c=0 d=0.0900325 t=1260
jie ke 	傑克	c=0 d=0.0860708 t=1260
jie ke luo su geng 	傑克羅素梗	c=2 d=1.74752 t=1260
jin gang 	金刚钻	c=2 d=1.81435 t=1260
jin tian tian qi 	今天天气	c=1 d=0.794534 t=1260
jin xing 	進行	c=1 d=0.744532 t=1260
jing jian 	精簡	c=2 d=1.89299 t=1260
jing mi yi qi 	精密儀器	c=0 d=0.0869358 t=1260
jing shen 	淨身	c=0 d=0.214546 t=1260
jing shen 	精神	c=0 d=0.151539 t=1260
jing shen jia suo 	淨身枷鎖	c=1 d=1 t=1260
jiu bei 	就被	c=1 d=0.481909 t=1260
jiu bie 	就別	c=0 d=0.0600496 t=1260
jiu bie xiang zhe 	就別想着	c=1 d=0.603506 t=1260
ju da 	巨大	c=0 d=0.0932394 t=1260
ju da de shu ru fa 	巨大的輸入法	c=1 d=0.937067 t=1260
ju qi shou lai 	舉起手來	c=1 d=0.985112 t=1260
jue dui de 	絕對的	c=1 d=0.726149 t=1260
kai fa 	開發	c=1 d=0.904837 t=1260
kai qi 	開啓	c=1 d=0.527292 t=1260
kai shi 	開始	c=0 d=0.0995012 t=1260
kao 	烤	c=0 d=0.0980199 t=1260
kao cha dui yuan 	考察队员	c=1 d=1 t=1260
kao ji 	考績	c=0 d=0.0980199 t=1260
kao ji qu 	考績去	c=1 d=0.985112 t=1260
kao pu 	靠譜	c=0 d=0.0778801 t=1260
ke fu 	客服	c=0 d=0.0965605 t=1260
ke ji 	科技	c=1 d=0.980199 t=1260
ke ji quan 	柯基犬	c=31 d=18.1741 t=1260
ke lian 	可憐	c=1 d=1.099 t=1260
ke lian tian xia fu mu xin 	可憐天下父母心	c=1 d=0.995012 t=1260
ke shi 	可是	c=0 d=0.0465334 t=1260
ke yi shi xian 	可以實現	c=0 d=0.0918512 t=1260
ke yi shi xian ji ben 	可以實現基本	c=2 d=1.85086 t=1260
kong gu 	控股	c=1 d=1 t=1260
ku fu 	哭副	c=1 d=0.99005 t=1260
kuai de 	快的	c=0 d=0.0960789 t=1260
kuai su 	快速	c=1 d=0.726149 t=1260
kuai zhao 	快照	c=0 d=0.0790571 t=1260
kui hua bao dian 	葵花宝典	c=1 d=0.873716 t=1260
kun chong 	昆蟲	c=1 d=0.431711 t=1260
kun ji qu 	鵾雞曲	c=1 d=0.348192 t=1260
kuo chong 	擴充	c=1 d=0.995012 t=1260
la ji 	拉圾	c=0 d=0.180516 t=1260
la ji shu ru fa 	拉圾輸入法	c=1 d=0.904837 t=1260
lan ting ji xu 	蘭亭集序	c=1 d=0.970446 t=1260
lao jiang 	老蔣	c=1 d=0.970446 t=1260
lao mo 	勞模	c=0 d=0.150028 t=1260
lao mo jing shen 	勞模淨身	c=1 d=0.752014 t=1260
lao mo jing shen 	勞模精神	c=1 d=0.755784 t=1260
le 	了	c=2 d=0.876646 t=1260
lei wang wang 	淚汪汪	c=1 d=0.995012 t=1260
li 	裏	c=6 d=2.30087 t=1260
li hai 	厲害	c=2 d=1.49431 t=1260
li hai de shu ru fa 	厲害的輸入法	c=2 d=0.650931 t=1260
li hai le 	厲害了	c=1 d=0.869358 t=1260
li hai long 	驪海隆	c=1 d=0.995012 t=1260
li lun 	理論	c=0 d=0.0308819 t=1260
li nian 	理念	c=0 d=0.291281 t=1260
li xue 	力學	c=1 d=0.307279 t=1260
lian xiang 	聯想	c=8 d=4.17221 t=1260
lian xiang gong neng 	聯想功能	c=1 d=0.951229 t=1260
lian xiang shu ru fa 	聯想輸入法	c=1 d=0.313486 t=1260
liang ge zi 	兩個字	c=1 d=0.97531 t=1260
liang ju hua 	兩句話	c=1 d=0.937067 t=1260
liang ke zhi jian 	兩可之間	c=2 d=1.99501 t=1260
liang zi 	量子	c=1 d=0.336628 t=1260
liang zi li lun 	量子理論	c=1 d=0.310367 t=1260
liang zi li xue 	量子力學	c=1 d=0.308819 t=1260
lie bao 	獵豹	c=1 d=0.367879 t=1260
lie biao 	列表	c=1 d=0.580141 t=1260
lie quan 	獵犬	c=0 d=0.0591555 t=1260
lin yin 	林荫大道	c=3 d=2.9216 t=1260
lin yin 	林蔭	c=1 d=0.99005 t=1260
lin yin 	瀶因	c=3 d=2.98506 t=1260
lin yin da 	林荫大道	c=1 d=0.995012 t=1260
ling hu chong 	令狐沖	c=1 d=0.965605 t=1260
ling hu chong wei wei 	令狐冲微微	c=2 d=1.75121 t=1260
ling hu chong wei wei yi xiao 	令狐冲微微一笑	c=1 d=0.852144 t=1260
ling jin 	阾進	c=1 d=0.995012 t=1260
ling jin 	领进去	c=1 d=0.980199 t=1260
ling ti 	靈緹	c=0 d=0.0574072 t=1260
ling ti 	靈體	c=0 d=0.0571209 t=1260
ling ti quan 	靈緹犬	c=1 d=0.57695 t=1260
ling ti quan 	靈體犬	c=1 d=0.574072 t=1260
ling za mi yan 	凌雜米鹽	c=0 d=0.0980199 t=1260
liu 	流	c=0 d=0.0918512 t=1260
liu lang 	流浪	c=0 d=0.0918512 t=1260
liu lang dong wu 	流浪動物	c=3 d=1.85086 t=1260
liu lang mao 	流浪貓	c=2 d=0.947732 t=1260
lu jing 	路徑	c=0 d=0.0371577 t=1260
lu jing xia 	路徑下	c=1 d=0.373439 t=1260
lu lu xu xu 	陸陸續續	c=1 d=0.67032 t=1260
luan ma 	亂碼	c=1 d=0.923116 t=1260
lun 	論	c=0 d=0.0960789 t=1260
luo 	羅	c=1 d=0.99005 t=1260
luo su 	羅素	c=0 d=0.0860708 t=1260
ma 	嗎	c=1 d=1.01649 t=1260
ma ding 	馬丁	c=1 d=1.07822 t=1260
ma ding ling za mi yan 	馬丁凌雜米鹽	c=1 d=0.985112 t=1260
ma ma 	媽媽	c=1 d=0.597501 t=1260
mai xing ren 	霾星人	c=1 d=0.932394 t=1260
mao 	毛	c=1 d=0.548812 t=1260
mao 	貓	c=1 d=0.551563 t=1260
mao mi 	貓咪	c=1 d=1.06265 t=1260
mao mi he zi 	貓咪盒子	c=3 d=2.93107 t=1260
mao xian 	冒險	c=0 d=0.099005 t=1260
mao xian shu ru fa 	冒險輸入法	c=1 d=0.995012 t=1260
mao yi gong si 	貿易公司	c=1 d=0.995012 t=1260
mei ji lu 	每基路伯有	c=1 d=0.995012 t=1260
mei ji lu bo 	每基路伯有	c=1 d=1 t=1260
mei xiang dao 	沒想到	c=1 d=0.565525 t=1260
mei you 	沒有	c=3 d=1.13346 t=1260
men 	們	c=0 d=0.0543351 t=1260
meng 	萌	c=2 d=1.93194 t=1260
meng mao 	萌貓	c=4 d=3.64894 t=1260
meng quan 	猛犬	c=6 d=2.94043 t=1260
meng shou 	猛獸	c=2 d=1.5307 t=1260
meng wu 	萌物	c=2 d=1.4201 t=1260
mi feng 	蜜蜂	c=1 d=0.438235 t=1260
